Estatus,Transacción,Fecha de Transmisión,Proveedor,Tamaño del Archivo (KB),Número de Documentos,Estándar,Versión del Cliente,Tipo de Error,Tiempo de Procesamiento (ms),Canal de Transmisión,Sistema Receptor,Prioridad del Mensaje,Causa de la Falla,Detectado,Reportado por Cliente Final,Sistema Transmisor
Éxito,850,2025-08-03,29583,369.02,10.0,EDIFACT,SAP PI,Formato inválido,850.8,API,SAP,Alta,Falta un campo mandatorio,No,Sí,SIMTEL
Éxito,850,2025-04-23,22554,468.34,47.0,EDIFACT,ECC6.0,Error de autenticación,1158.76,API,VAN,Alta,Documento parcialmente transmitido,No,Sí,SAP
Éxito,850,2025-08-18,19578,523.64,23.0,EDIFACT,S4HANA,Timeout,1031.69,AS2,SAP,Baja,Falta un campo mandatorio,No,Sí,SIMTEL
Éxito,862,2025-10-29,18948,442.36,44.0,EDIFACT,R/3,Error de autenticación,1263.73,SFTP,SAP,Alta,Formato no soportado,Sí,Sí,LEGACY
Falla,862,2025-05-23,25806,391.91,44.0,X12,410,Error de autenticación,1114.36,FTPS,SAP,Media,Certificado expirado,Sí,No,LEGACY
Falla,862,2025-01-04,4612,426.87,7.0,X12,R/3,Timeout,1444.57,OFTP,SAP,Alta,Mal encoding,No,Sí,EPICOR
Éxito,850,2025-03-23,27553,,,EDIFACT,,Desincronización de reloj,842.87,AS2,Legacy,Media,Desincronización de reloj,No,Sí,EPICOR
Éxito,810,2025-12-24,28994,327.33,5.0,EDIFACT,410,Error de autenticación,1026.36,FTPS,SAP,Media,Error de autenticación,Sí,Sí,VAN
Éxito,850,2025-08-05,21146,615.44,19.0,EDIFACT,R/3,Desincronización de reloj,1582.44,API,SAP,Alta,Error de autenticación,No,Sí,SEEBURGER
Falla,830,2025-06-24,12486,636.54,46.0,EDIFACT,S4HANA,Formato inválido,1179.19,AS2,Legacy,Alta,Mal encoding,Sí,Sí,VAN
Éxito,810,2025-05-23,4587,464.38,33.0,X12,410,Sin respuesta,1583.23,AS2,Legacy,Alta,Fallo en unidades de medida,No,Sí,SEEBURGER
Falla,862,2025-03-21,14936,546.01,24.0,X12,ECC6.0,Sin respuesta,1307.18,AS2,Legacy,Baja,Mal encoding,No,Sí,EPICOR
Falla,856,2025-04-21,21696,421.91,43.0,EDIFACT,410,Sin respuesta,1226.82,FTPS,SAP,Baja,Desincronización de reloj,Sí,Sí,SEEBURGER
Falla,810,2025-06-22,13663,526.77,23.0,EDIFACT,S4HANA,Sin respuesta,1300.35,API,Legacy,Media,Duplicado,Sí,Sí,SIMTEL
Falla,862,2025-02-22,21236,722.64,22.0,X12,SAP PI,Desincronización de reloj,1043.57,API,Legacy,Alta,Certificado expirado,No,Sí,VAN
Falla,810,2025-02-17,24965,627.12,36.0,X12,S4HANA,Formato inválido,937.22,API,SAP,Media,Desincronización de reloj,Sí,Sí,LEGACY
Éxito,810,2025-07-14,10651,449.65,46.0,EDIFACT,SAP PI,Desincronización de reloj,1541.87,API,SAP,Media,Fallo en unidades de medida,No,Sí,VAN
Éxito,850,2025-02-19,5644,368.08,21.0,X12,R/3,Error de autenticación,1395.65,API,SAP,Baja,Documento parcialmente transmitido,Sí,Sí,SAP
Éxito,830,2025-07-03,7833,470.63,18.0,EDIFACT,ECC6.0,Timeout,1480.76,AS2,Legacy,Media,Formato no soportado,Sí,No,EPICOR
Éxito,856,2025-06-26,7948,527.33,38.0,EDIFACT,410,Error de autenticación,1749.62,AS2,VAN,Media,Desincronización de reloj,Sí,Sí,EPICOR
Éxito,862,2025-11-06,11275,572.16,27.0,EDIFACT,S4HANA,Desincronización de reloj,1198.07,SFTP,SAP,Media,Fallo en unidades de medida,Sí,Sí,SEEBURGER
Falla,810,2025-05-16,9364,489.08,37.0,EDIFACT,ECC6.0,Error de autenticación,1438.41,SFTP,VAN,Media,Mal encoding,No,Sí,SIMTEL
Éxito,856,2025-01-23,4677,678.6,49.0,EDIFACT,SAP PI,Error de autenticación,827.55,API,VAN,Alta,Formato no soportado,No,Sí,SIMTEL
Éxito,810,2025-08-24,3917,503.26,25.0,X12,SAP PI,Error de autenticación,1530.77,API,SAP,Alta,Fallo en unidades de medida,Sí,Sí,VAN
Falla,830,2025-10-02,9169,452.46,39.0,X12,S4HANA,Formato inválido,788.78,AS2,Legacy,Media,Certificado expirado,No,Sí,SEEBURGER
Éxito,856,2025-03-05,10152,552.45,30.0,X12,SAP PI,Formato inválido,1027.88,AS2,Legacy,Baja,Fallo en unidades de medida,No,Sí,SIMTEL
Falla,862,2025-07-13,11987,570.01,43.0,X12,ECC6.0,Timeout,1028.85,SFTP,WEBEDI,Media,Certificado expirado,Sí,Sí,EPICOR
Éxito,810,2025-02-10,20196,423.72,14.0,X12,ECC6.0,Sin respuesta,1370.8,AS2,SAP,Media,Formato no soportado,No,Sí,SEEBURGER
Falla,830,2025-10-10,2730,406.14,34.0,X12,ECC6.0,,1088.46,API,SAP,Media,Formato no soportado,No,Sí,VAN
Éxito,856,2025-05-31,3031,335.8,32.0,EDIFACT,S4HANA,Desincronización de reloj,1124.0,AS2,Legacy,Media,Documento parcialmente transmitido,Sí,Sí,LEGACY
Éxito,810,2025-11-18,14318,471.11,31.0,X12,SAP PI,Formato inválido,1107.24,API,Legacy,Baja,Desincronización de reloj,Sí,No,VAN
Falla,810,2025-11-13,11080,621.68,49.0,EDIFACT,SAP PI,Formato inválido,1251.31,SFTP,SAP,Media,Fallo en unidades de medida,Sí,No,SIMTEL
Falla,862,2025-07-05,4298,566.61,2.0,EDIFACT,R/3,Timeout,1248.72,FTPS,SAP,Alta,Documento parcialmente transmitido,No,Sí,SEEBURGER
Falla,830,2025-10-23,2864,612.39,47.0,X12,410,Desincronización de reloj,1028.72,API,SAP,Media,Duplicado,Sí,Sí,EPICOR
Falla,850,2025-04-09,6003,434.56,39.0,X12,410,Desincronización de reloj,1396.92,AS2,Legacy,Alta,Mal encoding,Sí,No,LEGACY
Falla,810,2025-12-27,18337,483.66,35.0,EDIFACT,SAP PI,Timeout,1142.6,OFTP,Legacy,Media,Formato no soportado,Sí,Sí,SEEBURGER
Falla,856,2025-02-05,21789,309.43,23.0,X12,SAP PI,Timeout,1197.27,API,Legacy,Baja,Duplicado,Sí,No,SEEBURGER
Falla,862,2025-01-24,23881,600.79,6.0,EDIFACT,ECC6.0,Error de autenticación,1518.6,AS2,Legacy,Alta,Falta un campo mandatorio,Sí,No,VAN
Falla,862,2025-12-05,14602,634.27,21.0,EDIFACT,S4HANA,Timeout,1229.77,AS2,Legacy,Baja,Mal encoding,Sí,Sí,SAP
Éxito,810,2025-04-27,18462,393.34,26.0,EDIFACT,SAP PI,Error de autenticación,952.9,OFTP,VAN,Alta,Formato no soportado,Sí,No,SEEBURGER
Éxito,810,2025-05-29,21804,662.57,30.0,EDIFACT,R/3,Desincronización de reloj,1070.56,API,VAN,Baja,Duplicado,Sí,No,SEEBURGER
Falla,810,2025-02-10,12705,476.55,41.0,X12,R/3,Error de autenticación,1594.8,OFTP,Legacy,Baja,Desincronización de reloj,Sí,No,SAP
Éxito,850,2025-04-30,8818,391.67,42.0,EDIFACT,SAP PI,Sin respuesta,928.66,API,WEBEDI,Media,Mal encoding,Sí,No,LEGACY
Éxito,810,2025-02-21,4765,468.41,30.0,EDIFACT,410,Formato inválido,1067.46,FTPS,SAP,Baja,Duplicado,No,Sí,SEEBURGER
Éxito,830,2025-07-14,19816,,8.0,EDIFACT,S4HANA,Error de autenticación,1527.66,API,Legacy,Baja,Mal encoding,Sí,Sí,EPICOR
Éxito,856,2025-05-23,5743,494.61,39.0,EDIFACT,R/3,Sin respuesta,1135.92,API,Legacy,Baja,Duplicado,No,Sí,EPICOR
Falla,810,2025-08-21,26066,442.2,33.0,X12,SAP PI,Timeout,1330.77,AS2,SAP,Media,Formato no soportado,No,Sí,SEEBURGER
Éxito,850,2025-11-22,14194,559.23,10.0,EDIFACT,SAP PI,Timeout,1019.36,AS2,SAP,Media,Formato no soportado,Sí,No,SIMTEL
Falla,856,2025-07-06,18067,568.45,18.0,EDIFACT,ECC6.0,Timeout,1213.17,API,Legacy,Baja,Desincronización de reloj,Sí,No,SIMTEL
Éxito,862,2025-03-25,29254,482.61,48.0,EDIFACT,,Timeout,892.19,AS2,Legacy,Alta,Desincronización de reloj,No,Sí,SEEBURGER
Éxito,810,2025-07-09,26312,464.32,36.0,EDIFACT,ECC6.0,Sin respuesta,1303.81,AS2,WEBEDI,Media,Duplicado,Sí,No,SAP
Éxito,856,2025-07-01,2138,445.44,41.0,EDIFACT,S4HANA,Formato inválido,1361.42,AS2,SAP,Alta,Formato no soportado,No,Sí,SEEBURGER
Falla,862,2025-04-18,20890,547.86,11.0,EDIFACT,S4HANA,Error de autenticación,1239.47,API,Legacy,Alta,Formato no soportado,No,Sí,SEEBURGER
Éxito,850,2025-12-10,30351,339.58,44.0,X12,R/3,Formato inválido,902.15,AS2,SAP,Baja,Error de autenticación,Sí,No,LEGACY
Falla,830,2025-05-17,28556,423.74,8.0,X12,ECC6.0,Error de autenticación,1450.03,API,SAP,Baja,Mal encoding,Sí,Sí,EPICOR
Éxito,810,2025-12-26,21357,483.8,1.0,X12,410,Formato inválido,1329.13,API,VAN,Media,Error de autenticación,No,Sí,SAP
Falla,830,2025-12-16,18409,,8.0,EDIFACT,ECC6.0,Sin respuesta,1633.18,API,SAP,Baja,Falta un campo mandatorio,No,Sí,SEEBURGER
Éxito,850,2025-11-28,28867,525.4,5.0,X12,R/3,Sin respuesta,930.26,AS2,VAN,Alta,Documento parcialmente transmitido,No,Sí,SEEBURGER
Falla,856,2025-02-06,23544,516.34,1.0,X12,R/3,Timeout,846.05,API,Legacy,Baja,Error de autenticación,Sí,No,EPICOR
Falla,856,2025-11-08,15703,748.07,3.0,X12,ECC6.0,Desincronización de reloj,1049.7,FTPS,SAP,Media,Formato no soportado,No,Sí,LEGACY
Éxito,850,2025-11-22,3871,,27.0,X12,SAP PI,Sin respuesta,1592.8,AS2,VAN,Baja,Fallo en unidades de medida,No,Sí,EPICOR
Falla,850,2025-03-29,10977,498.89,45.0,X12,SAP PI,Sin respuesta,2299.07,API,SAP,Baja,Mal encoding,Sí,No,SAP
Éxito,810,2025-10-01,19520,404.31,48.0,X12,410,Timeout,1064.31,AS2,Legacy,Alta,Fallo en unidades de medida,Sí,No,SIMTEL
Éxito,862,2025-05-06,11416,693.98,23.0,EDIFACT,410,Desincronización de reloj,1717.94,AS2,Legacy,Baja,Documento parcialmente transmitido,No,Sí,VAN
Éxito,830,2025-03-25,12139,670.12,44.0,EDIFACT,410,Sin respuesta,1052.82,AS2,SAP,Media,Falta un campo mandatorio,Sí,Sí,VAN
Éxito,830,2025-08-25,22317,343.21,39.0,X12,R/3,Sin respuesta,1040.49,AS2,SAP,Baja,Duplicado,No,Sí,EPICOR
Éxito,856,2025-07-14,25352,483.55,40.0,EDIFACT,R/3,Formato inválido,1401.9,OFTP,Legacy,Media,Documento parcialmente transmitido,No,Sí,SEEBURGER
Éxito,856,2025-05-19,22099,503.6,11.0,X12,SAP PI,Error de autenticación,1025.5,FTPS,Legacy,Baja,Mal encoding,No,Sí,SIMTEL
Éxito,810,2025-11-24,11274,465.98,45.0,X12,ECC6.0,Error de autenticación,996.27,FTPS,Legacy,Media,Mal encoding,No,Sí,LEGACY
Éxito,850,2025-12-19,12153,451.61,11.0,EDIFACT,S4HANA,Formato inválido,1253.17,AS2,SAP,Media,Duplicado,Sí,Sí,SEEBURGER
Éxito,830,2025-10-13,18464,577.09,36.0,X12,ECC6.0,Error de autenticación,1260.72,API,Legacy,Media,Mal encoding,Sí,Sí,SAP
Éxito,810,2025-04-23,17244,678.79,38.0,X12,SAP PI,Timeout,1784.38,API,SAP,Media,Mal encoding,Sí,No,SEEBURGER
Éxito,856,2025-12-17,32525,,31.0,EDIFACT,SAP PI,Desincronización de reloj,686.38,API,Legacy,Alta,Documento parcialmente transmitido,No,Sí,SEEBURGER
Falla,856,2025-06-16,25735,586.41,24.0,EDIFACT,SAP PI,Sin respuesta,1407.14,FTPS,Legacy,Media,Formato no soportado,No,Sí,EPICOR
Falla,830,2025-01-29,5442,464.52,19.0,EDIFACT,SAP PI,Error de autenticación,1202.07,OFTP,Legacy,Media,Falta un campo mandatorio,No,Sí,SAP
Éxito,856,2025-04-28,9888,601.73,32.0,EDIFACT,R/3,,1085.86,AS2,WEBEDI,Baja,Documento parcialmente transmitido,No,Sí,EPICOR
Éxito,856,2025-01-17,10025,601.4,40.0,X12,410,Formato inválido,1716.21,OFTP,SAP,Baja,Error de autenticación,No,Sí,SAP
Éxito,862,2025-06-11,4592,452.54,38.0,X12,410,Formato inválido,1538.07,OFTP,Legacy,Media,Formato no soportado,Sí,Sí,LEGACY
Éxito,850,2025-07-25,6219,476.69,17.0,EDIFACT,ECC6.0,Error de autenticación,1780.41,AS2,VAN,Baja,Error de autenticación,No,Sí,SAP
Éxito,856,2025-05-18,10350,342.48,35.0,EDIFACT,ECC6.0,Formato inválido,646.94,FTPS,SAP,Baja,Documento parcialmente transmitido,Sí,Sí,SEEBURGER
Éxito,862,2025-02-03,26780,364.74,12.0,X12,SAP PI,Error de autenticación,554.23,API,SAP,Media,Desincronización de reloj,No,Sí,SEEBURGER
Éxito,810,2025-04-19,23437,456.63,15.0,X12,SAP PI,Timeout,1417.76,FTPS,Legacy,Baja,Falta un campo mandatorio,Sí,Sí,SEEBURGER
Éxito,856,2025-10-18,22863,393.02,39.0,X12,S4HANA,Error de autenticación,1113.56,AS2,VAN,Baja,Falta un campo mandatorio,Sí,No,EPICOR
Falla,810,2025-06-11,27526,580.44,13.0,X12,410,Formato inválido,1598.46,AS2,Legacy,Alta,Formato no soportado,Sí,No,SAP
Éxito,856,2025-04-19,19137,484.1,30.0,EDIFACT,SAP PI,Timeout,1028.44,AS2,Legacy,Baja,Falta un campo mandatorio,Sí,Sí,SAP
Falla,830,2025-12-02,10216,553.26,42.0,X12,,Timeout,1107.95,AS2,WEBEDI,Alta,Error de autenticación,Sí,No,LEGACY
Éxito,862,2025-09-13,11957,377.92,19.0,EDIFACT,,,480.22,API,SAP,Media,Fallo en unidades de medida,Sí,No,SIMTEL
Éxito,862,2025-07-22,14778,629.88,9.0,X12,ECC6.0,Sin respuesta,1207.11,AS2,WEBEDI,Media,Duplicado,Sí,No,SAP
Falla,830,2025-11-26,17451,548.96,28.0,EDIFACT,S4HANA,Sin respuesta,1032.56,SFTP,Legacy,Media,Error de autenticación,Sí,No,EPICOR
Éxito,850,2025-08-23,3923,540.45,44.0,X12,SAP PI,Formato inválido,1087.56,API,Legacy,Baja,Mal encoding,No,Sí,EPICOR
Falla,862,2025-03-15,9728,594.69,43.0,EDIFACT,SAP PI,Error de autenticación,1305.65,AS2,SAP,Baja,Duplicado,Sí,Sí,EPICOR
Éxito,810,2025-05-16,10468,531.88,25.0,EDIFACT,SAP PI,Sin respuesta,1333.18,API,Legacy,Baja,Documento parcialmente transmitido,No,Sí,VAN
Éxito,862,2025-03-13,17912,398.66,40.0,EDIFACT,S4HANA,Error de autenticación,1575.24,SFTP,WEBEDI,Media,Desincronización de reloj,Sí,No,LEGACY
Falla,850,2025-05-07,9040,562.69,41.0,EDIFACT,SAP PI,Sin respuesta,1234.89,AS2,Legacy,Baja,Error de autenticación,No,Sí,SAP
Éxito,810,2025-10-15,1586,421.26,4.0,EDIFACT,410,Timeout,606.36,AS2,Legacy,Media,Duplicado,Sí,No,VAN
Falla,810,2025-10-03,28312,521.09,37.0,X12,SAP PI,Error de autenticación,1313.84,OFTP,Legacy,Alta,Duplicado,No,Sí,EPICOR
Éxito,830,2025-05-15,28429,422.72,7.0,X12,SAP PI,Sin respuesta,989.79,OFTP,SAP,Media,Duplicado,No,Sí,SIMTEL
Falla,856,2025-10-27,8410,666.22,41.0,X12,ECC6.0,Desincronización de reloj,997.38,AS2,SAP,Alta,Mal encoding,No,Sí,SIMTEL
Falla,830,2025-08-08,29570,566.97,4.0,X12,SAP PI,Formato inválido,1836.11,AS2,Legacy,Alta,Mal encoding,Sí,No,SAP
Éxito,856,2025-10-26,32300,600.74,23.0,X12,R/3,,998.38,SFTP,SAP,Baja,Desincronización de reloj,No,Sí,EPICOR
Éxito,830,2025-07-24,22166,424.08,44.0,X12,S4HANA,Error de autenticación,641.02,API,SAP,Media,Documento parcialmente transmitido,No,Sí,SEEBURGER
Falla,856,2025-07-05,14817,529.89,44.0,X12,,Desincronización de reloj,1109.88,OFTP,SAP,Media,Fallo en unidades de medida,Sí,Sí,SEEBURGER
Éxito,862,2025-04-23,6154,519.02,6.0,EDIFACT,S4HANA,Timeout,1291.84,API,SAP,Baja,Desincronización de reloj,Sí,Sí,SIMTEL
Éxito,810,2025-03-12,9534,511.03,45.0,EDIFACT,R/3,Formato inválido,1180.51,API,Legacy,Media,Desincronización de reloj,No,Sí,SIMTEL
Éxito,856,2025-09-18,25549,306.26,9.0,X12,ECC6.0,Error de autenticación,1220.69,API,Legacy,Media,Duplicado,No,Sí,SIMTEL
Falla,862,2025-09-10,12249,696.43,9.0,EDIFACT,,Formato inválido,1328.08,API,VAN,Alta,Desincronización de reloj,No,Sí,EPICOR
Falla,850,2025-02-16,15426,496.15,21.0,EDIFACT,R/3,Error de autenticación,944.45,AS2,Legacy,Baja,Mal encoding,No,Sí,EPICOR
Falla,830,2025-01-25,6567,550.18,3.0,EDIFACT,R/3,Desincronización de reloj,1125.77,API,Legacy,Baja,Duplicado,No,Sí,LEGACY
Falla,850,2025-02-26,31198,368.53,13.0,EDIFACT,410,Sin respuesta,1569.14,API,SAP,Alta,Documento parcialmente transmitido,Sí,Sí,EPICOR
Falla,862,2025-03-20,14005,646.38,38.0,X12,ECC6.0,Sin respuesta,1259.07,AS2,Legacy,Alta,Error de autenticación,No,Sí,SAP
Falla,850,2025-11-18,17397,637.94,18.0,X12,S4HANA,Sin respuesta,1238.25,API,Legacy,Baja,Fallo en unidades de medida,Sí,Sí,SAP
Falla,850,2025-03-23,18141,585.44,46.0,X12,SAP PI,Sin respuesta,449.74,SFTP,Legacy,Baja,Duplicado,No,Sí,VAN
Falla,862,2025-12-15,13499,527.28,31.0,X12,R/3,Timeout,1676.25,API,WEBEDI,Baja,Error de autenticación,No,Sí,VAN
Falla,810,2025-08-05,15265,733.55,29.0,EDIFACT,410,Error de autenticación,962.22,OFTP,Legacy,Alta,Formato no soportado,Sí,No,SEEBURGER
Éxito,856,2025-11-02,2948,598.31,2.0,X12,R/3,Timeout,1438.67,API,SAP,Media,Falta un campo mandatorio,Sí,No,EPICOR
Falla,830,2025-02-02,14112,363.39,31.0,EDIFACT,S4HANA,Sin respuesta,2067.63,AS2,Legacy,Baja,Falta un campo mandatorio,Sí,Sí,EPICOR
Éxito,856,2025-07-17,17359,522.45,38.0,X12,SAP PI,Sin respuesta,1335.51,API,SAP,Baja,Fallo en unidades de medida,Sí,Sí,SAP
Éxito,830,2025-07-15,7201,558.38,,EDIFACT,SAP PI,Desincronización de reloj,789.06,FTPS,SAP,Baja,Falta un campo mandatorio,No,Sí,SEEBURGER
Éxito,856,2025-11-02,28321,510.51,40.0,EDIFACT,R/3,Formato inválido,1770.66,API,Legacy,Alta,Falta un campo mandatorio,Sí,No,EPICOR
Falla,850,2025-08-28,22484,557.31,10.0,EDIFACT,SAP PI,Sin respuesta,1185.05,SFTP,VAN,Media,Desincronización de reloj,No,Sí,SEEBURGER
Falla,810,2025-09-28,4844,644.12,13.0,EDIFACT,SAP PI,Timeout,773.45,API,SAP,Media,Mal encoding,Sí,No,VAN
Falla,850,2025-05-09,18578,,1.0,X12,,Timeout,1473.74,API,Legacy,Alta,Error de autenticación,Sí,Sí,SAP
Falla,810,2025-10-11,31131,462.01,37.0,X12,R/3,Timeout,1592.04,FTPS,Legacy,Alta,Fallo en unidades de medida,Sí,No,LEGACY
Éxito,862,2025-01-06,11758,391.45,25.0,EDIFACT,410,Desincronización de reloj,1392.87,AS2,SAP,Alta,Documento parcialmente transmitido,No,Sí,VAN
Falla,830,2025-12-15,15943,313.41,30.0,X12,410,Timeout,1198.67,AS2,Legacy,Media,Documento parcialmente transmitido,No,Sí,SAP
Falla,830,2025-02-28,13293,468.78,2.0,X12,ECC6.0,,1856.38,AS2,Legacy,Media,Certificado expirado,Sí,No,VAN
Falla,862,2025-12-16,13913,432.27,36.0,X12,S4HANA,Error de autenticación,1095.65,FTPS,Legacy,Baja,Fallo en unidades de medida,Sí,No,SAP
Falla,856,2025-10-02,26559,479.34,24.0,EDIFACT,R/3,Desincronización de reloj,1826.26,AS2,Legacy,Media,Certificado expirado,Sí,Sí,SEEBURGER
Falla,862,2025-05-17,5166,441.48,12.0,EDIFACT,SAP PI,Error de autenticación,1545.19,AS2,VAN,Media,Falta un campo mandatorio,No,Sí,SIMTEL
Éxito,862,2025-11-25,29152,392.56,5.0,EDIFACT,S4HANA,Desincronización de reloj,744.03,AS2,Legacy,Media,Documento parcialmente transmitido,Sí,Sí,EPICOR
Falla,810,2025-06-24,4175,444.95,,EDIFACT,R/3,Desincronización de reloj,1200.35,API,VAN,Media,Formato no soportado,No,Sí,SAP
Éxito,862,2025-02-27,12091,551.3,42.0,EDIFACT,R/3,Desincronización de reloj,646.42,AS2,Legacy,Baja,Documento parcialmente transmitido,Sí,Sí,EPICOR
Falla,830,2025-05-31,18235,446.47,49.0,EDIFACT,S4HANA,Error de autenticación,1124.85,OFTP,VAN,Alta,Error de autenticación,No,Sí,SIMTEL
Éxito,850,2025-08-11,10341,481.13,46.0,EDIFACT,S4HANA,Sin respuesta,1210.77,AS2,Legacy,Alta,Fallo en unidades de medida,No,Sí,SIMTEL
Falla,810,2025-03-22,13563,709.47,7.0,EDIFACT,,Error de autenticación,950.06,OFTP,Legacy,Media,Mal encoding,Sí,No,SEEBURGER
Falla,810,2025-08-21,8545,607.52,2.0,EDIFACT,ECC6.0,Desincronización de reloj,1298.88,AS2,Legacy,Media,Falta un campo mandatorio,No,Sí,SIMTEL
Éxito,856,2025-01-02,26304,522.79,3.0,X12,SAP PI,Formato inválido,1202.34,AS2,SAP,Baja,Mal encoding,No,Sí,SIMTEL
Éxito,850,2025-05-15,3564,526.1,4.0,EDIFACT,S4HANA,Error de autenticación,1491.23,AS2,VAN,Baja,Desincronización de reloj,No,Sí,EPICOR
Éxito,810,2025-09-14,23814,428.97,48.0,X12,,Formato inválido,1028.61,API,SAP,Baja,Duplicado,Sí,No,VAN
Falla,862,2025-04-02,26501,458.01,16.0,EDIFACT,,Error de autenticación,1000.27,API,SAP,Media,Documento parcialmente transmitido,Sí,Sí,EPICOR
Éxito,810,2025-09-17,28588,472.27,27.0,EDIFACT,ECC6.0,Desincronización de reloj,956.26,API,SAP,Alta,Desincronización de reloj,No,Sí,SAP
Falla,810,2025-02-24,14512,,22.0,X12,SAP PI,Error de autenticación,1292.41,AS2,SAP,Baja,Fallo en unidades de medida,No,Sí,VAN
Falla,810,2025-11-17,8914,495.59,3.0,EDIFACT,410,Timeout,1558.2,API,SAP,Media,Fallo en unidades de medida,Sí,No,SIMTEL
Éxito,856,2025-06-02,19706,387.16,49.0,EDIFACT,,Timeout,1191.87,API,SAP,Baja,Error de autenticación,No,Sí,LEGACY
Éxito,810,2025-11-24,22774,559.6,17.0,EDIFACT,S4HANA,Desincronización de reloj,1180.91,FTPS,SAP,Media,Duplicado,No,Sí,SAP
