Estatus,Transacción,Fecha de Transmisión,Proveedor,Tamaño del Archivo (KB),Número de Documentos,Estándar,Versión del Cliente,Tipo de Error,Tiempo de Procesamiento (ms),Canal de Transmisión,Sistema Receptor,Prioridad del Mensaje,Causa de la Falla,Detectado,Reportado por Cliente Final,Sistema Transmisor,multa,retrabajo (hrs)
Falla,830,2025-02-17,18278,702.6,103.0,X12,S4HANA,Timeout,2549.55,API,SAP,Alta,Fallo en unidades de medida,No,Sí,SEEBURGER,300.0,5.15
Éxito,830,2025-04-22,28933,389.34,57.0,X12,,Timeout,1412.81,AS2,Legacy,Media,Falta un campo mandatorio,Sí,No,SIMTEL,0.0,0.0
Falla,850,2025-04-30,12612,618.75,90.0,EDIFACT,SAP PI,Error de autenticación,2245.28,AS2,VAN,Alta,Documento parcialmente transmitido,Sí,Sí,SEEBURGER,270.0,4.5
Éxito,830,2025-09-16,17071,542.77,79.0,X12,,,1969.57,AS2,VAN,Media,Falta un campo mandatorio,No,Sí,SAP,0.0,0.0
Éxito,830,2025-11-05,8511,408.72,60.0,X12,ECC6.0,Sin respuesta,1483.14,AS2,Legacy,Baja,Fallo en unidades de medida,No,Sí,LEGACY,0.0,0.0
Éxito,856,2025-01-14,28695,472.55,69.0,X12,ECC6.0,Timeout,1714.76,API,SAP,Alta,Mal encoding,Sí,No,VAN,0.0,0.0
Éxito,850,2025-10-15,33400,339.9,50.0,EDIFACT,R/3,Timeout,1233.41,OFTP,Legacy,Alta,Duplicado,No,Sí,LEGACY,0.0,0.0
Éxito,850,2025-04-12,24662,173.52,25.0,EDIFACT,,Timeout,629.66,API,SAP,Baja,Fallo en unidades de medida,Sí,Sí,VAN,0.0,0.0
Éxito,830,2025-11-29,10324,380.04,56.0,X12,,,1379.07,API,SAP,Baja,Error de autenticación,Sí,Sí,SEEBURGER,0.0,0.0
Éxito,850,2025-12-26,28933,461.2,,EDIFACT,410,Formato inválido,1673.58,API,,Alta,Duplicado,Sí,Sí,SIMTEL,0.0,0.0
Éxito,810,2025-10-07,1822,508.12,74.0,EDIFACT,S4HANA,Sin respuesta,1843.84,AS2,VAN,Alta,Duplicado,Sí,No,SIMTEL,0.0,0.0
Éxito,850,2025-08-03,29583,369.02,54.0,EDIFACT,SAP PI,Formato inválido,1339.08,API,SAP,Alta,Falta un campo mandatorio,No,Sí,SIMTEL,0.0,0.0
Éxito,850,2025-04-23,22554,468.34,68.0,EDIFACT,ECC6.0,Error de autenticación,1699.48,API,VAN,Alta,Documento parcialmente transmitido,No,Sí,SAP,0.0,0.0
Éxito,850,2025-08-18,19578,523.64,77.0,EDIFACT,S4HANA,Timeout,1900.15,AS2,SAP,Baja,Falta un campo mandatorio,No,Sí,SIMTEL,0.0,0.0
Éxito,862,2025-10-29,18948,442.36,65.0,EDIFACT,R/3,Error de autenticación,1605.21,SFTP,SAP,Alta,Formato no soportado,Sí,Sí,LEGACY,0.0,0.0
Éxito,862,2025-05-23,25806,391.91,57.0,X12,410,Error de autenticación,1422.14,FTPS,SAP,Media,Certificado expirado,Sí,No,LEGACY,0.0,0.0
Éxito,862,2025-01-04,4612,426.87,62.0,X12,R/3,Timeout,1549.0,OFTP,SAP,Alta,Mal encoding,No,Sí,EPICOR,0.0,0.0
Éxito,810,2025-12-24,28994,327.33,48.0,EDIFACT,410,Error de autenticación,1187.8,FTPS,SAP,Media,Error de autenticación,Sí,Sí,VAN,0.0,0.0
Falla,850,2025-08-05,21146,615.44,90.0,EDIFACT,R/3,Desincronización de reloj,2233.27,API,SAP,Alta,Error de autenticación,No,Sí,SEEBURGER,270.0,4.5
Falla,830,2025-06-24,12486,636.54,93.0,EDIFACT,S4HANA,Formato inválido,2309.84,AS2,Legacy,Alta,Mal encoding,Sí,Sí,VAN,279.0,4.65
Éxito,810,2025-05-23,4587,464.38,68.0,X12,410,Sin respuesta,1685.12,AS2,Legacy,Alta,Fallo en unidades de medida,No,Sí,SEEBURGER,0.0,0.0
Éxito,862,2025-03-21,14936,546.01,80.0,X12,ECC6.0,Sin respuesta,1981.33,AS2,Legacy,Baja,Mal encoding,No,Sí,EPICOR,0.0,0.0
Éxito,856,2025-04-21,21696,421.91,62.0,EDIFACT,410,Sin respuesta,1531.0,FTPS,SAP,Baja,Desincronización de reloj,Sí,Sí,SEEBURGER,0.0,0.0
Éxito,810,2025-06-22,13663,526.77,77.0,EDIFACT,S4HANA,Sin respuesta,1911.51,API,Legacy,Media,Duplicado,Sí,Sí,SIMTEL,0.0,0.0
Falla,862,2025-02-22,21236,722.64,106.0,X12,SAP PI,Desincronización de reloj,2622.27,API,Legacy,Alta,Certificado expirado,No,Sí,VAN,300.0,5.3
Falla,810,2025-02-17,24965,627.12,92.0,X12,S4HANA,Formato inválido,2275.66,API,SAP,Media,Desincronización de reloj,Sí,Sí,LEGACY,276.0,4.6
Éxito,810,2025-07-14,10651,449.65,66.0,EDIFACT,SAP PI,Desincronización de reloj,1631.66,API,SAP,Media,Fallo en unidades de medida,No,Sí,VAN,0.0,0.0
Éxito,850,2025-02-19,5644,368.08,54.0,X12,R/3,Error de autenticación,1335.67,API,SAP,Baja,Documento parcialmente transmitido,Sí,Sí,SAP,0.0,0.0
Éxito,830,2025-07-03,7833,470.63,69.0,EDIFACT,ECC6.0,Timeout,1707.79,AS2,Legacy,Media,Formato no soportado,Sí,No,EPICOR,0.0,0.0
Éxito,856,2025-06-26,7948,527.33,77.0,EDIFACT,410,Error de autenticación,1913.54,AS2,VAN,Media,Desincronización de reloj,Sí,Sí,EPICOR,0.0,0.0
Falla,862,2025-11-06,11275,572.16,84.0,EDIFACT,S4HANA,Desincronización de reloj,2076.22,SFTP,SAP,Media,Fallo en unidades de medida,Sí,Sí,SEEBURGER,252.0,4.2
Éxito,810,2025-05-16,9364,489.08,71.0,EDIFACT,ECC6.0,Error de autenticación,1774.74,SFTP,VAN,Media,Mal encoding,No,Sí,SIMTEL,0.0,0.0
Falla,856,2025-01-23,4677,678.6,99.0,EDIFACT,SAP PI,Error de autenticación,2462.46,API,VAN,Alta,Formato no soportado,No,Sí,SIMTEL,297.0,4.95
Éxito,810,2025-08-24,3917,503.26,74.0,X12,SAP PI,,1826.2,API,SAP,Alta,Fallo en unidades de medida,Sí,Sí,VAN,0.0,0.0
Éxito,830,2025-10-02,9169,452.46,66.0,X12,S4HANA,Formato inválido,1641.86,AS2,Legacy,Media,Certificado expirado,No,Sí,SEEBURGER,0.0,0.0
Éxito,856,2025-03-05,10152,552.45,81.0,X12,SAP PI,Formato inválido,2004.7,AS2,Legacy,Baja,Fallo en unidades de medida,No,Sí,SIMTEL,0.0,0.0
Falla,862,2025-07-13,11987,570.01,83.0,X12,ECC6.0,Timeout,2068.42,SFTP,WEBEDI,Media,Certificado expirado,Sí,Sí,EPICOR,249.0,4.15
Éxito,810,2025-02-10,20196,423.72,62.0,X12,ECC6.0,Sin respuesta,1537.57,AS2,SAP,Media,Formato no soportado,No,Sí,SEEBURGER,0.0,0.0
Éxito,830,2025-10-10,2730,406.14,59.0,X12,ECC6.0,,1473.78,API,SAP,Media,Formato no soportado,No,Sí,VAN,0.0,0.0
Éxito,856,2025-05-31,3031,335.8,49.0,EDIFACT,S4HANA,Desincronización de reloj,1218.53,AS2,Legacy,Media,Documento parcialmente transmitido,Sí,Sí,LEGACY,0.0,0.0
Éxito,810,2025-11-18,14318,471.11,69.0,X12,SAP PI,Formato inválido,1709.54,API,Legacy,Baja,Desincronización de reloj,Sí,No,VAN,0.0,0.0
Falla,810,2025-11-13,11080,621.68,91.0,EDIFACT,SAP PI,,2255.92,SFTP,SAP,Media,Fallo en unidades de medida,Sí,No,SIMTEL,273.0,4.55
Éxito,862,2025-07-05,4298,566.61,83.0,EDIFACT,R/3,Timeout,2056.08,FTPS,SAP,Alta,Documento parcialmente transmitido,No,Sí,SEEBURGER,0.0,0.0
Falla,830,2025-10-23,2864,612.39,90.0,X12,410,Desincronización de reloj,2222.21,API,SAP,Media,Duplicado,Sí,Sí,EPICOR,270.0,4.5
Éxito,850,2025-04-09,6003,434.56,64.0,X12,410,Desincronización de reloj,1576.91,AS2,Legacy,Alta,Mal encoding,Sí,No,LEGACY,0.0,0.0
Éxito,810,2025-12-27,18337,483.66,71.0,EDIFACT,SAP PI,Timeout,1755.08,OFTP,Legacy,Media,Formato no soportado,Sí,Sí,SEEBURGER,0.0,0.0
Éxito,856,2025-02-05,21789,309.43,,X12,SAP PI,Timeout,1122.84,API,Legacy,Baja,Duplicado,Sí,No,SEEBURGER,0.0,0.0
Falla,862,2025-01-24,23881,600.79,88.0,EDIFACT,ECC6.0,Error de autenticación,2180.11,AS2,Legacy,Alta,Falta un campo mandatorio,Sí,No,VAN,264.0,4.4
Falla,862,2025-12-05,14602,634.27,93.0,EDIFACT,S4HANA,Timeout,2301.6,AS2,Legacy,Baja,Mal encoding,Sí,Sí,SAP,279.0,4.65
Éxito,810,2025-04-27,18462,393.34,57.0,EDIFACT,SAP PI,Error de autenticación,1427.33,OFTP,VAN,Alta,Formato no soportado,Sí,No,SEEBURGER,0.0,0.0
Falla,810,2025-05-29,21804,662.57,97.0,EDIFACT,R/3,Desincronización de reloj,2404.3,API,VAN,Baja,Duplicado,Sí,No,SEEBURGER,291.0,4.85
Éxito,810,2025-02-10,12705,476.55,70.0,X12,R/3,Error de autenticación,1729.28,OFTP,Legacy,Baja,Desincronización de reloj,Sí,No,SAP,0.0,0.0
Éxito,850,2025-04-30,8818,391.67,57.0,EDIFACT,SAP PI,Sin respuesta,1421.27,API,WEBEDI,Media,Mal encoding,Sí,No,LEGACY,0.0,0.0
Éxito,810,2025-02-21,4765,468.41,68.0,EDIFACT,410,Formato inválido,1699.74,FTPS,SAP,Baja,Duplicado,No,Sí,SEEBURGER,0.0,0.0
Éxito,856,2025-05-23,5743,494.61,72.0,EDIFACT,R/3,Sin respuesta,1794.81,API,Legacy,Baja,Duplicado,No,Sí,EPICOR,0.0,0.0
Éxito,810,2025-08-21,26066,442.2,,X12,SAP PI,Timeout,1604.63,AS2,SAP,Media,Formato no soportado,No,Sí,SEEBURGER,0.0,0.0
Éxito,850,2025-11-22,14194,559.23,82.0,EDIFACT,SAP PI,Timeout,2029.3,AS2,SAP,Media,Formato no soportado,Sí,No,SIMTEL,0.0,0.0
Falla,856,2025-07-06,18067,568.45,83.0,EDIFACT,ECC6.0,Timeout,2062.76,API,Legacy,Baja,Desincronización de reloj,Sí,No,SIMTEL,249.0,4.15
Éxito,862,2025-03-25,29254,482.61,71.0,EDIFACT,,Timeout,1751.27,AS2,Legacy,Alta,Desincronización de reloj,No,Sí,SEEBURGER,0.0,0.0
Éxito,810,2025-07-09,26312,464.32,,EDIFACT,ECC6.0,Sin respuesta,1684.9,AS2,WEBEDI,Media,Duplicado,Sí,No,SAP,0.0,0.0
Éxito,856,2025-07-01,2138,445.44,65.0,EDIFACT,S4HANA,Formato inválido,1616.39,AS2,SAP,Alta,Formato no soportado,No,Sí,SEEBURGER,0.0,0.0
Éxito,862,2025-04-18,20890,547.86,80.0,EDIFACT,S4HANA,Error de autenticación,1988.04,API,Legacy,Alta,Formato no soportado,No,Sí,SEEBURGER,0.0,0.0
Éxito,850,2025-12-10,30351,339.58,50.0,X12,R/3,Formato inválido,1232.25,AS2,,Baja,Error de autenticación,Sí,No,LEGACY,0.0,0.0
Éxito,830,2025-05-17,28556,423.74,62.0,X12,ECC6.0,Error de autenticación,1537.64,API,SAP,Baja,Mal encoding,Sí,Sí,EPICOR,0.0,0.0
Éxito,810,2025-12-26,21357,483.8,71.0,X12,410,Formato inválido,1755.59,API,VAN,Media,Error de autenticación,No,Sí,SAP,0.0,0.0
Éxito,850,2025-11-28,28867,525.4,77.0,X12,R/3,Sin respuesta,,AS2,VAN,Alta,Documento parcialmente transmitido,No,Sí,SEEBURGER,0.0,0.0
Éxito,856,2025-02-06,23544,516.34,75.0,X12,R/3,Timeout,1873.66,API,Legacy,Baja,Error de autenticación,Sí,No,EPICOR,0.0,0.0
Falla,856,2025-11-08,15703,748.07,109.0,X12,ECC6.0,Desincronización de reloj,2714.55,FTPS,SAP,Media,Formato no soportado,No,Sí,LEGACY,300.0,5.45
Éxito,850,2025-03-29,10977,498.89,73.0,X12,SAP PI,Sin respuesta,1810.34,API,SAP,Baja,Mal encoding,Sí,No,SAP,0.0,0.0
Éxito,810,2025-10-01,19520,404.31,59.0,X12,410,Timeout,1467.14,AS2,Legacy,Alta,Fallo en unidades de medida,Sí,No,SIMTEL,0.0,0.0
Falla,862,2025-05-06,11416,693.98,101.0,EDIFACT,410,Desincronización de reloj,2518.27,AS2,Legacy,Baja,Documento parcialmente transmitido,No,Sí,VAN,300.0,5.05
Falla,830,2025-03-25,12139,670.12,98.0,EDIFACT,410,,2431.69,AS2,SAP,Media,Falta un campo mandatorio,Sí,Sí,VAN,294.0,4.9
Éxito,830,2025-08-25,22317,343.21,50.0,X12,R/3,Sin respuesta,,AS2,SAP,Baja,Duplicado,No,Sí,EPICOR,0.0,0.0
Éxito,856,2025-07-14,25352,483.55,71.0,EDIFACT,R/3,Formato inválido,1754.68,OFTP,Legacy,Media,Documento parcialmente transmitido,No,Sí,SEEBURGER,0.0,0.0
Éxito,856,2025-05-19,22099,503.6,74.0,X12,SAP PI,Error de autenticación,1827.43,FTPS,Legacy,Baja,Mal encoding,No,Sí,SIMTEL,0.0,0.0
Éxito,810,2025-11-24,11274,465.98,68.0,X12,ECC6.0,Error de autenticación,1690.92,FTPS,Legacy,Media,Mal encoding,No,Sí,LEGACY,0.0,0.0
Éxito,850,2025-12-19,12153,451.61,66.0,EDIFACT,,Formato inválido,,AS2,SAP,Media,Duplicado,Sí,Sí,SEEBURGER,0.0,0.0
Falla,830,2025-10-13,18464,577.09,84.0,X12,ECC6.0,Error de autenticación,2094.11,API,Legacy,Media,Mal encoding,Sí,Sí,SAP,252.0,4.2
Falla,810,2025-04-23,17244,678.79,99.0,X12,SAP PI,Timeout,2463.15,API,SAP,Media,Mal encoding,Sí,No,SEEBURGER,297.0,4.95
Falla,856,2025-06-16,25735,586.41,86.0,EDIFACT,SAP PI,Sin respuesta,2127.93,FTPS,Legacy,Media,Formato no soportado,No,Sí,EPICOR,258.0,4.3
Éxito,830,2025-01-29,5442,464.52,68.0,EDIFACT,SAP PI,Error de autenticación,1685.62,OFTP,Legacy,Media,Falta un campo mandatorio,No,Sí,SAP,0.0,0.0
Falla,856,2025-04-28,9888,601.73,88.0,EDIFACT,R/3,,2183.52,AS2,WEBEDI,Baja,Documento parcialmente transmitido,No,Sí,EPICOR,264.0,4.4
Falla,856,2025-01-17,10025,601.4,88.0,X12,410,Formato inválido,2182.33,OFTP,SAP,Baja,Error de autenticación,No,Sí,SAP,264.0,4.4
Éxito,862,2025-06-11,4592,452.54,66.0,X12,410,Formato inválido,1642.15,OFTP,Legacy,Media,Formato no soportado,Sí,Sí,LEGACY,0.0,0.0
Éxito,850,2025-07-25,6219,476.69,70.0,EDIFACT,ECC6.0,Error de autenticación,1729.78,AS2,VAN,Baja,Error de autenticación,No,Sí,SAP,0.0,0.0
Éxito,856,2025-05-18,10350,342.48,50.0,EDIFACT,ECC6.0,Formato inválido,1242.77,FTPS,SAP,Baja,Documento parcialmente transmitido,Sí,Sí,SEEBURGER,0.0,0.0
Éxito,862,2025-02-03,26780,364.74,53.0,X12,SAP PI,Error de autenticación,1323.55,API,SAP,Media,Desincronización de reloj,No,Sí,SEEBURGER,0.0,0.0
Éxito,810,2025-04-19,23437,456.63,67.0,X12,,Timeout,1656.99,FTPS,Legacy,Baja,Falta un campo mandatorio,Sí,Sí,SEEBURGER,0.0,0.0
Éxito,856,2025-10-18,22863,393.02,57.0,X12,S4HANA,Error de autenticación,1426.17,AS2,VAN,Baja,Falta un campo mandatorio,Sí,No,EPICOR,0.0,0.0
Falla,810,2025-06-11,27526,580.44,85.0,X12,,Formato inválido,2106.27,AS2,Legacy,Alta,Formato no soportado,Sí,No,SAP,255.0,4.25
Éxito,856,2025-04-19,19137,484.1,71.0,EDIFACT,,Timeout,1756.67,AS2,Legacy,Baja,Falta un campo mandatorio,Sí,Sí,SAP,0.0,0.0
Éxito,830,2025-12-02,10216,553.26,81.0,X12,,Timeout,2007.64,AS2,WEBEDI,Alta,Error de autenticación,Sí,No,LEGACY,0.0,0.0
Éxito,862,2025-09-13,11957,377.92,55.0,EDIFACT,,,1371.37,API,SAP,Media,Fallo en unidades de medida,Sí,No,SIMTEL,0.0,0.0
Falla,862,2025-07-22,14778,629.88,92.0,X12,ECC6.0,Sin respuesta,2285.67,AS2,WEBEDI,Media,Duplicado,Sí,No,SAP,276.0,4.6
Éxito,830,2025-11-26,17451,548.96,80.0,EDIFACT,S4HANA,Sin respuesta,1992.03,SFTP,Legacy,Media,Error de autenticación,Sí,No,EPICOR,0.0,0.0
Éxito,850,2025-08-23,3923,540.45,79.0,X12,SAP PI,Formato inválido,1961.15,API,Legacy,Baja,Mal encoding,No,Sí,EPICOR,0.0,0.0
Falla,862,2025-03-15,9728,594.69,87.0,EDIFACT,SAP PI,Error de autenticación,2157.98,AS2,SAP,Baja,Duplicado,Sí,Sí,EPICOR,261.0,4.35
Éxito,810,2025-05-16,10468,531.88,78.0,EDIFACT,SAP PI,Sin respuesta,1930.06,API,Legacy,Baja,Documento parcialmente transmitido,No,Sí,VAN,0.0,0.0
Éxito,862,2025-03-13,17912,398.66,58.0,EDIFACT,S4HANA,Error de autenticación,1446.63,SFTP,WEBEDI,Media,Desincronización de reloj,Sí,No,LEGACY,0.0,0.0
Éxito,850,2025-05-07,9040,562.69,82.0,EDIFACT,SAP PI,Sin respuesta,2041.86,AS2,Legacy,Baja,Error de autenticación,No,Sí,SAP,0.0,0.0
Éxito,810,2025-10-15,1586,421.26,62.0,EDIFACT,410,Timeout,1528.64,AS2,Legacy,Media,Duplicado,Sí,No,VAN,0.0,0.0
Éxito,810,2025-10-03,28312,521.09,76.0,X12,SAP PI,Error de autenticación,1890.9,OFTP,Legacy,Alta,Duplicado,No,Sí,EPICOR,0.0,0.0
Éxito,830,2025-05-15,28429,422.72,62.0,X12,SAP PI,Sin respuesta,,OFTP,SAP,Media,Duplicado,No,Sí,SIMTEL,0.0,0.0
Falla,856,2025-10-27,8410,666.22,97.0,X12,ECC6.0,Desincronización de reloj,2417.54,AS2,,Alta,Mal encoding,No,Sí,SIMTEL,291.0,4.85
Éxito,830,2025-08-08,29570,566.97,83.0,X12,SAP PI,Formato inválido,2057.39,AS2,Legacy,Alta,Mal encoding,Sí,No,SAP,0.0,0.0
Falla,856,2025-10-26,32300,600.74,88.0,X12,R/3,,2179.93,SFTP,SAP,Baja,Desincronización de reloj,No,Sí,EPICOR,264.0,4.4
Éxito,830,2025-07-24,22166,424.08,62.0,X12,S4HANA,Error de autenticación,1538.88,API,SAP,Media,Documento parcialmente transmitido,No,Sí,SEEBURGER,0.0,0.0
Éxito,856,2025-07-05,14817,529.89,77.0,X12,,Desincronización de reloj,1922.83,OFTP,SAP,Media,Fallo en unidades de medida,Sí,Sí,SEEBURGER,0.0,0.0
Éxito,862,2025-04-23,6154,519.02,76.0,EDIFACT,S4HANA,Timeout,1883.39,API,SAP,Baja,Desincronización de reloj,Sí,Sí,SIMTEL,0.0,0.0
Éxito,810,2025-03-12,9534,511.03,75.0,EDIFACT,R/3,Formato inválido,1854.4,API,Legacy,Media,Desincronización de reloj,No,Sí,SIMTEL,0.0,0.0
Éxito,856,2025-09-18,25549,306.26,45.0,X12,ECC6.0,Error de autenticación,1111.34,API,Legacy,Media,Duplicado,No,Sí,SIMTEL,0.0,0.0
Falla,862,2025-09-10,12249,696.43,102.0,EDIFACT,,Formato inválido,2527.16,API,VAN,Alta,Desincronización de reloj,No,Sí,EPICOR,300.0,5.1
Éxito,850,2025-02-16,15426,496.15,73.0,EDIFACT,R/3,Error de autenticación,1800.4,AS2,Legacy,Baja,Mal encoding,No,Sí,EPICOR,0.0,0.0
Éxito,830,2025-01-25,6567,550.18,80.0,EDIFACT,R/3,Desincronización de reloj,1996.46,API,Legacy,Baja,Duplicado,No,Sí,LEGACY,0.0,0.0
Éxito,850,2025-02-26,31198,368.53,54.0,EDIFACT,410,Sin respuesta,1337.3,API,SAP,Alta,Documento parcialmente transmitido,Sí,Sí,EPICOR,0.0,0.0
Falla,862,2025-03-20,14005,646.38,,X12,,Sin respuesta,2345.55,AS2,Legacy,Alta,Error de autenticación,No,Sí,SAP,,
Falla,850,2025-11-18,17397,637.94,93.0,X12,S4HANA,Sin respuesta,2314.92,API,Legacy,Baja,Fallo en unidades de medida,Sí,Sí,SAP,279.0,4.65
Falla,850,2025-03-23,18141,585.44,86.0,X12,SAP PI,Sin respuesta,2124.41,SFTP,Legacy,Baja,Duplicado,No,Sí,VAN,258.0,4.3
Éxito,862,2025-12-15,13499,527.28,77.0,X12,R/3,Timeout,1913.36,API,WEBEDI,Baja,Error de autenticación,No,Sí,VAN,0.0,0.0
Falla,810,2025-08-05,15265,733.55,107.0,EDIFACT,410,Error de autenticación,2661.86,OFTP,Legacy,Alta,Formato no soportado,Sí,No,SEEBURGER,300.0,5.35
Falla,856,2025-11-02,2948,598.31,87.0,X12,R/3,Timeout,2171.11,API,SAP,Media,Falta un campo mandatorio,Sí,No,EPICOR,261.0,4.35
Éxito,830,2025-02-02,14112,363.39,53.0,EDIFACT,S4HANA,Sin respuesta,1318.65,AS2,Legacy,Baja,Falta un campo mandatorio,Sí,Sí,EPICOR,0.0,0.0
Éxito,856,2025-07-17,17359,522.45,76.0,X12,SAP PI,Sin respuesta,1895.84,API,SAP,Baja,Fallo en unidades de medida,Sí,Sí,SAP,0.0,0.0
Éxito,856,2025-11-02,28321,510.51,75.0,EDIFACT,R/3,Formato inválido,1852.51,API,Legacy,Alta,Falta un campo mandatorio,Sí,No,EPICOR,0.0,0.0
Éxito,850,2025-08-28,22484,557.31,81.0,EDIFACT,SAP PI,Sin respuesta,2022.33,SFTP,VAN,Media,Desincronización de reloj,No,Sí,SEEBURGER,0.0,0.0
Falla,810,2025-09-28,4844,644.12,94.0,EDIFACT,SAP PI,Timeout,2337.35,API,SAP,Media,Mal encoding,Sí,No,VAN,282.0,4.7
Éxito,810,2025-10-11,31131,462.01,68.0,X12,R/3,,1676.51,FTPS,Legacy,Alta,Fallo en unidades de medida,Sí,No,LEGACY,0.0,0.0
Éxito,862,2025-01-06,11758,391.45,57.0,EDIFACT,410,Desincronización de reloj,1420.47,AS2,SAP,Alta,Documento parcialmente transmitido,No,Sí,VAN,0.0,0.0
Éxito,830,2025-12-15,15943,313.41,46.0,X12,410,Timeout,1137.28,AS2,Legacy,Media,Documento parcialmente transmitido,No,Sí,SAP,0.0,0.0
Éxito,830,2025-02-28,13293,468.78,69.0,X12,ECC6.0,,1701.08,AS2,Legacy,Media,Certificado expirado,Sí,No,VAN,0.0,0.0
Éxito,862,2025-12-16,13913,432.27,63.0,X12,S4HANA,Error de autenticación,1568.6,FTPS,Legacy,Baja,Fallo en unidades de medida,Sí,No,SAP,0.0,0.0
Éxito,856,2025-10-02,26559,479.34,70.0,EDIFACT,R/3,Desincronización de reloj,1739.4,AS2,,Media,Certificado expirado,Sí,Sí,SEEBURGER,0.0,0.0
Éxito,862,2025-05-17,5166,441.48,65.0,EDIFACT,SAP PI,Error de autenticación,,AS2,VAN,Media,Falta un campo mandatorio,No,Sí,SIMTEL,0.0,0.0
Éxito,862,2025-11-25,29152,392.56,57.0,EDIFACT,S4HANA,Desincronización de reloj,,AS2,Legacy,Media,Documento parcialmente transmitido,Sí,Sí,EPICOR,0.0,0.0
Éxito,862,2025-02-27,12091,551.3,81.0,EDIFACT,R/3,Desincronización de reloj,2000.53,AS2,Legacy,Baja,Documento parcialmente transmitido,Sí,Sí,EPICOR,0.0,0.0
Éxito,830,2025-05-31,18235,446.47,,EDIFACT,S4HANA,Error de autenticación,1620.12,OFTP,VAN,Alta,Error de autenticación,No,Sí,SIMTEL,0.0,0.0
Éxito,850,2025-08-11,10341,481.13,70.0,EDIFACT,S4HANA,Sin respuesta,1745.9,AS2,Legacy,Alta,Fallo en unidades de medida,No,Sí,SIMTEL,0.0,0.0
Falla,810,2025-03-22,13563,709.47,104.0,EDIFACT,,Error de autenticación,2574.48,OFTP,Legacy,Media,Mal encoding,Sí,No,SEEBURGER,300.0,5.2
Falla,810,2025-08-21,8545,607.52,89.0,EDIFACT,,Desincronización de reloj,2204.53,AS2,Legacy,Media,Falta un campo mandatorio,No,Sí,SIMTEL,267.0,4.45
Éxito,856,2025-01-02,26304,522.79,76.0,X12,SAP PI,Formato inválido,1897.07,AS2,SAP,Baja,Mal encoding,No,Sí,SIMTEL,0.0,0.0
Éxito,850,2025-05-15,3564,526.1,,EDIFACT,S4HANA,Error de autenticación,1909.08,AS2,VAN,Baja,Desincronización de reloj,No,Sí,EPICOR,0.0,0.0
Éxito,810,2025-09-14,23814,428.97,63.0,X12,,Formato inválido,1556.62,API,SAP,Baja,Duplicado,Sí,No,VAN,0.0,0.0
Éxito,862,2025-04-02,26501,458.01,67.0,EDIFACT,,Error de autenticación,1662.0,API,SAP,Media,Documento parcialmente transmitido,Sí,Sí,EPICOR,0.0,0.0
